param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
relu,lbfgs,26,1e-05,0.406707523262702,0.03579158021345878,281,5.356260538101196,0.0069162845611572266,0.0547485777184019,0.0041811587417848
relu,adam,26,1e-05,0.4346196420520352,0.026757487422067384,230,8.436989259719848,0.00933842658996582,1.0679652389733345,0.0009406871481798446
relu,lbfgs,30,1e-05,0.40850637634205694,0.0280507475397411,273,6.866077613830567,0.010421037673950195,0.23415708805943805,0.006337117775475787
relu,adam,30,1e-05,0.44830537475297805,0.021937954947856053,146,8.800325727462768,0.009273576736450195,1.0187078523007467,0.0010009018153937514
relu,lbfgs,32,1e-05,0.4055452023887135,0.03128080699788268,286,7.384580612182617,0.006469440460205078,0.17757645681231707,0.0036876725289739366
relu,adam,32,1e-05,0.42858540366193154,0.03599360694147271,242,7.897125577926635,0.010292863845825196,0.9759210536551092,0.0003515190231738836
relu,lbfgs,41,1e-05,0.38884299774695485,0.032395396406543875,302,10.354634046554565,0.013775491714477539,0.8952245096841663,0.008292519916053245
relu,adam,41,1e-05,0.4511980881971748,0.03505733063990366,118,9.474961233139037,0.01378006935119629,1.652673645655318,0.0073383261673803015
relu,lbfgs,43,1e-05,0.3946337580355608,0.025140818028962803,296,10.365005254745483,0.012586259841918945,0.48082824677842634,0.004831924897315511
relu,adam,43,1e-05,0.4429590306646144,0.028465520346721614,188,8.691415596008301,0.010197830200195313,1.2912268170295553,0.0001020525544727764
relu,lbfgs,65,1e-05,0.38190167947324183,0.03759289514307311,310,14.445393753051757,0.011741924285888671,0.5338997123915978,0.003231651194082174
relu,adam,65,1e-05,0.44083586792600354,0.03162168107738537,195,11.296064567565917,0.01097421646118164,1.1745716535931907,0.0009689290387338615
relu,lbfgs,1,0.0001,0.18355657591062147,0.1481951837934988,317,0.6784456729888916,0.004837179183959961,0.1914926021225595,0.003949558584619705
relu,adam,1,0.0001,-0.4321672115445162,0.026224096005179776,320,5.672484636306763,0.0019692897796630858,0.19941440113434727,0.002099899429458938
relu,lbfgs,2,0.0001,0.4575509344350491,0.031606240243126284,62,1.7163884162902832,0.00201873779296875,0.16033392835041282,0.0040374755859375
relu,adam,2,0.0001,0.44481668911109606,0.029862975997576483,180,6.06580867767334,0.003624439239501953,0.3952157847075767,0.0044855962514719645
relu,lbfgs,3,0.0001,0.4571121794914375,0.027460032756492996,67,1.3586007595062255,0.001612091064453125,0.20957358231790002,0.00322418212890625
relu,adam,3,0.0001,0.45781651663810263,0.027443089124760813,53,6.229450607299805,0.0028423786163330076,0.21299733949915697,0.0037581028434924123
relu,lbfgs,4,0.0001,0.46013273825968676,0.02553061042249566,30,1.8671706199645997,0.0080657958984375,0.362936736045902,0.0031163832964262008
relu,adam,4,0.0001,0.4405523474919539,0.024559296701869425,201,6.501975440979004,0.0020197391510009765,0.26972682104991824,0.0031155702105613845
relu,lbfgs,5,0.0001,0.45090027958811235,0.019027464271059526,119,2.307482671737671,0.007102108001708985,0.39848706187324545,0.0031043714328933673
relu,adam,5,0.0001,0.43454982163303546,0.028709147937217096,231,7.436345767974854,0.006868743896484375,0.5203107934319138,0.004875129464724472
relu,lbfgs,6,0.0001,0.46171016170475776,0.025152770439026636,21,3.3307637691497805,0.00445098876953125,0.21909473086995812,0.0038840238089126473
relu,adam,6,0.0001,0.46724042236148816,0.027889995734569493,5,6.789164733886719,0.002469301223754883,0.5756158089700674,0.00399700432209374
relu,lbfgs,7,0.0001,0.4620413857184308,0.02445912007738049,18,3.3203768730163574,0.0004078388214111328,0.22032471931498626,0.0008156776428222656
relu,adam,7,0.0001,0.4527476168770148,0.02434141284648537,101,7.652915716171265,0.0028343677520751955,0.25360633503272634,0.0027224056878542595
relu,lbfgs,8,0.0001,0.4555236692279627,0.03153102929552063,82,2.8453821659088137,0.004038619995117188,0.0999694368134987,0.0049462792391424424
relu,adam,8,0.0001,0.4367570084673676,0.028362704417984733,217,6.2289894104003904,0.005240917205810547,1.42899917537694,0.004344758659707893
relu,lbfgs,9,0.0001,0.45384467216350616,0.016679518637374057,95,3.252149486541748,0.005020523071289062,0.13567670958252456,0.0036287132092325232
relu,adam,9,0.0001,0.4508397434180287,0.03132017829871297,120,7.87873010635376,0.0028525352478027343,0.20186474397091245,0.0027614098739236147
relu,lbfgs,10,0.0001,0.4667954329879215,0.024184962736947844,12,3.254527759552002,0.0016359329223632813,0.08234240353129879,0.0008179696856774624
relu,adam,10,0.0001,0.46001493799450177,0.02383276874051614,33,8.002991580963135,0.00242767333984375,0.26742604869461484,0.003914839116717928
relu,lbfgs,11,0.0001,0.44633353471194476,0.031466949952284266,163,3.677619457244873,0.0012218952178955078,0.04461599788453143,0.0009976772597731043
relu,adam,11,0.0001,0.45633974840693403,0.026544659138034235,77,8.498801231384277,0.004856777191162109,0.1386968254929868,0.0035029041687603523
relu,lbfgs,12,0.0001,0.4427922398441158,0.025924825659537756,189,3.0239889144897463,0.002861690521240234,0.06168874163968178,0.0037881789907983324
relu,adam,12,0.0001,0.4593565188325225,0.023225551377842574,44,8.492988872528077,0.005708026885986328,0.3939703880177677,0.003946818839175943
relu,lbfgs,13,0.0001,0.4395825011304172,0.02736288055314225,205,3.738316011428833,0.0038646697998046876,0.16527914743446667,0.003977483843525192
relu,adam,13,0.0001,0.45957083827508416,0.021424245508828516,40,6.877128553390503,0.0061185359954833984,0.4827203410302179,0.003391523721501831
relu,lbfgs,14,0.0001,0.4223576135737746,0.029004480687613445,258,4.315614175796509,0.010902833938598634,0.18487120562496825,0.010322742146633285
relu,adam,14,0.0001,0.4539372948013426,0.028500158246354487,94,8.452145528793334,0.007599973678588867,1.1531590475647244,0.0008006824684029383
relu,lbfgs,15,0.0001,0.4246304149534688,0.026319975390344013,246,6.037360811233521,0.008003044128417968,0.676914656359048,0.0012633160049192135
relu,adam,15,0.0001,0.4505745646197449,0.023128440550606016,127,12.518785238265991,0.009618568420410156,1.0949971059181507,0.0027838528713144224
relu,lbfgs,16,0.0001,0.4221098661698954,0.027989524350347374,261,6.475098896026611,0.0076008796691894535,0.7905215296452911,0.0013549628322383576
