param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
relu,lbfgs,"(100, 100, 100)",0.001,0.344081344,0.03826881,70,76.01601763,0.05580616,0.440938891,0.007053768
relu,adam,"(200, 200)",1.00E-05,0.343556298,0.044445391,71,129.8327531,0.076605749,9.988744744,0.004924072
relu,lbfgs,"(50, 50, 50)",1,0.3435551,0.043180936,72,37.23652983,0.031806421,0.765685261,0.003124326
relu,lbfgs,"(200, 200)",0.1,0.343459497,0.032158056,73,126.2706239,0.092207956,1.185357159,0.016484553
relu,adam,"(100, 100, 100)",1,0.342741734,0.0684597,74,66.01524234,0.050606632,17.43545591,0.002935634
relu,lbfgs,"(50, 50, 50)",0.1,0.342670639,0.037101756,75,35.30760179,0.026205254,0.551638437,0.001719899
relu,lbfgs,"(100, 100, 100)",0.01,0.341565368,0.036099086,76,75.65358615,0.061813927,0.670459291,0.009993754
relu,lbfgs,"(200, 200)",0.001,0.34086064,0.035621518,77,126.4817591,0.090802574,0.374945953,0.013063635
relu,lbfgs,"(50, 50, 50)",0.01,0.340778478,0.0380302,78,34.70580564,0.028204918,0.327148244,0.003429092
relu,lbfgs,"(200, 200)",1,0.340638085,0.039359278,79,130.9358195,0.08961215,3.506699943,0.010782134
relu,lbfgs,"(100, 100, 100)",0.1,0.339838302,0.044923402,80,75.57469053,0.062006092,0.799971065,0.01062005
relu,lbfgs,"(100, 100, 100)",0.0001,0.339497325,0.032657504,81,76.40206542,0.057604599,0.614633343,0.011743648
relu,adam,"(100, 100, 100)",1.00E-05,0.338793547,0.075087331,82,83.19191566,0.06140461,15.15843044,0.016930427
relu,adam,"(50, 50, 50)",0.0001,0.33570012,0.057743561,83,40.73652163,0.036800575,3.676106416,0.012027697
relu,lbfgs,"(100, 100, 100)",1.00E-05,0.335694538,0.036270198,84,77.60448523,0.075605583,4.761269861,0.015820235
relu,adam,"(100, 100, 100)",0.0001,0.334960311,0.074028897,85,71.02101488,0.049807739,12.23527302,0.003968829
relu,lbfgs,"(200, 200, 200)",1,0.334188082,0.041675025,86,219.7920704,0.122617912,4.212163751,0.028622441
relu,adam,"(200, 200)",0.0001,0.333878078,0.051254338,87,124.4067722,0.078829908,18.26450121,0.010257226
relu,adam,"(200, 200)",1,0.333450529,0.0435126,88,134.2372528,0.089805841,6.787275893,0.026186554
relu,lbfgs,"(200, 200, 200)",0.0001,0.333443532,0.04385303,89,215.6191051,0.136217308,2.267627506,0.017726839
relu,adam,"(50, 50, 50)",0.01,0.332701457,0.048228559,90,40.89501557,0.030602646,0.351179144,0.006592109
relu,adam,"(50, 50, 50)",0.001,0.331995741,0.066086867,91,39.05201864,0.03220377,3.489294007,0.010456061
relu,adam,"(50, 50, 50)",0.1,0.331837984,0.055216292,92,40.59984131,0.031600428,0.382542506,0.004453899
relu,lbfgs,"(200, 200, 200)",0.1,0.330001365,0.040057859,93,221.3317018,0.133816433,4.678410465,0.015533605
relu,adam,"(200, 200)",0.01,0.328096086,0.05399634,94,118.8431177,0.08057189,16.08408498,0.01149828
relu,lbfgs,"(200, 200, 200)",0.01,0.327543419,0.047967231,95,213.0406981,0.135271645,3.913463973,0.011541982
relu,lbfgs,"(200, 200, 200)",1.00E-05,0.326526106,0.044040295,96,221.8105588,0.137822151,5.751912506,0.016034646
relu,adam,"(200, 200)",0.001,0.324951831,0.060186665,97,121.2882979,0.08140769,28.13781694,0.009914876
relu,lbfgs,"(200, 200, 200)",0.001,0.323339457,0.04034673,98,213.6348654,0.133214664,4.151741345,0.018235126
relu,adam,"(100, 100, 100)",0.1,0.3200311,0.047524268,99,77.19194093,0.059402847,6.365351816,0.012957268
relu,adam,"(100, 100, 100)",0.001,0.319530845,0.067803805,100,76.70687399,0.050404358,10.58900798,0.004631717
relu,adam,"(100, 100, 100)",0.01,0.318044105,0.059194929,101,74.33818479,0.05000577,11.44389996,0.001416171
relu,adam,"(200, 200, 200)",0.001,0.316055571,0.031629797,102,195.496454,0.122212172,25.46931892,0.011903551
relu,adam,"(200, 200, 200)",0.01,0.315898804,0.048857315,103,209.329256,0.114608479,8.487328124,0.007967769
relu,adam,"(200, 200)",0.1,0.310595469,0.070700922,104,133.7193459,0.079995775,1.595941789,0.004679393
relu,adam,"(200, 200, 200)",0.1,0.300341308,0.05276951,105,211.6430898,0.130218983,10.71495047,0.011801184
relu,adam,"(200, 200, 200)",0.0001,0.299258768,0.049460826,106,195.4433904,0.10440855,13.70530451,0.010555577
relu,adam,"(200, 200, 200)",1.00E-05,0.284801637,0.063985044,107,212.2719521,0.119222927,4.58135352,0.011934905
relu,adam,"(200, 200, 200)",1,0.276468819,0.052256836,108,162.4056726,0.085412741,36.1776667,0.019531173
