,min,max,mean,std
kickoff_in_endzone,0.0,1.0,0.009975763870856054,0.09938038904513337
kickoff_out_of_bounds,0.0,1.0,0.0006275426296200121,0.02504321048282358
kickoff_downed,0.0,1.0,4.327880204275946e-05,0.006578591452209899
kickoff_fair_catch,0.0,1.0,2.163940102137973e-05,0.004651816959141842
fumble_forced,0.0,1.0,0.009521336449407081,0.0971127421109689
fumble_not_forced,0.0,1.0,0.004912144031853198,0.06991509600125448
fumble_out_of_bounds,0.0,1.0,0.001276724660261404,0.03570885362600422
solo_tackle,0.0,1.0,0.4709599238293084,0.49916136238070646
safety,0.0,1.0,0.0004544274214489743,0.021312689798553948
penalty,0.0,1.0,0.07671167662079113,0.2661362958667837
tackled_for_loss,0.0,1.0,0.02949450359214057,0.1691898261778716
fumble_lost,0.0,1.0,0.006318705098242881,0.07923960459312752
own_kickoff_recovery,0.0,1.0,0.0001514758071496581,0.01230675179117232
own_kickoff_recovery_td,0.0,1.0,2.163940102137973e-05,0.004651816959143745
qb_hit,0.0,1.0,0.061564095905825324,0.24036473997236346
rush_attempt,0.0,1.0,0.3005929195879858,0.45852084552270045
pass_attempt,0.0,1.0,0.4407945988055051,0.49648771846121015
sack,0.0,1.0,0.025361377997057042,0.15722186044341493
touchdown,0.0,1.0,0.02962433999826885,0.16955046609670107
pass_touchdown,0.0,1.0,0.017895784644681036,0.13257415234018607
rush_touchdown,0.0,1.0,0.009997403271877434,0.09948703121182177
return_touchdown,0.0,1.0,0.0011468882541331256,0.03384667918000233
extra_point_attempt,0.0,1.0,0.0270059724746819,0.16210249396182547
two_point_attempt,0.0,1.0,0.0024452523154159093,0.04938953170542183
field_goal_attempt,0.0,1.0,0.022721371072448714,0.14901540485711345
kickoff_attempt,0.0,1.0,0.05961654981390115,0.23677759603799706
punt_attempt,0.0,1.0,0.05256210508093136,0.22316004983276008
fumble,0.0,1.0,0.014411841080238899,0.11918241184270356
complete_pass,0.0,1.0,0.2605816670994547,0.4389567534694942
assist_tackle,0.0,1.0,0.12042326668397818,0.3254593609848079
lateral_reception,0.0,1.0,0.00017311520817103783,0.013156328699061685
lateral_rush,0.0,1.0,2.163940102137973e-05,0.004651816959142544
lateral_return,0.0,1.0,0.00010819700510689864,0.010401328743511906
lateral_recovery,0.0,1.0,0.0016445944776248592,0.04052067764624957
lateral_sack_player_id,,,,
lateral_sack_player_name,,,,
assist_tackle_3_player_id,,,,
assist_tackle_3_player_name,,,,
assist_tackle_3_team,,,,
assist_tackle_4_player_id,,,,
assist_tackle_4_player_name,,,,
assist_tackle_4_team,,,,
