,param_activation,param_solver,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time
43,relu,adam,20,0.0001,0.35500300973023124,0.03572352235254335,65,61.93993830680847,0.011667887369791666,0.4515311654697573,0.0018857626979200417
67,relu,adam,20,0.001,0.3551760925951606,0.03568697452693348,63,63.573521534601845,0.008999506632486979,0.18575036977565149,0.0008173136414277528
91,relu,adam,20,0.01,0.35485897050583787,0.03586449262271435,66,63.62598069508871,0.009001493453979492,0.38043351361331584,0.0008156587997410388
115,relu,adam,20,0.1,0.35897466335344635,0.04083366199445408,57,63.757667779922485,0.009999513626098633,0.23812441718042696,0.0028278854904148823
139,relu,adam,20,1,0.35747495570280235,0.033671874047855564,62,64.09555466969807,0.025696833928426106,1.0340533811117323,0.012683197808842958
21,relu,adam,27,1e-05,0.36715901560463093,0.05063788090700938,27,69.07355968157451,0.011333783467610678,1.7511064533486425,0.0033974796781899882
45,relu,adam,27,0.0001,0.3671836220329605,0.050619469415907614,26,67.32934586207072,0.011999289194742838,1.8315144633766702,0.002943679934954304
69,relu,adam,27,0.001,0.3672357378543237,0.050777022106811814,25,69.18850223223369,0.008665879567464193,2.184806425531735,0.0009421787696221603
93,relu,adam,27,0.01,0.36712717417463137,0.0508279795412009,28,69.6297508875529,0.00900109608968099,1.8263147006390872,0.0008154649992653097
117,relu,adam,27,0.1,0.36550125348358686,0.05219910157325078,37,69.54137992858887,0.012667417526245117,2.4028559531942633,0.0020540762347550394
141,relu,adam,27,1,0.3649441178048541,0.05001717439838527,38,68.12548017501831,0.0076723893483479815,2.9976219550849925,0.0004726211343383961
23,relu,adam,29,1e-05,0.3588269402385982,0.034557362554809866,60,69.04896020889282,0.007334550221761067,2.258876701062216,0.0004697969117333428
47,relu,adam,29,0.0001,0.35887314604229137,0.034541252910753266,58,66.41267323493958,0.008332967758178711,1.6824019767876626,0.00046934730501731593
71,relu,adam,29,0.001,0.35885924226388727,0.03453860339522544,59,66.95783432324727,0.00933512051900228,2.2356455750006208,0.0012459620562110696
95,relu,adam,29,0.01,0.35903202778126203,0.03468340937112942,56,68.25445206960042,0.008334795633951822,1.512830539435079,0.0004714301769020075
119,relu,adam,29,0.1,0.35940998882991265,0.03425406951672297,55,67.93225924173991,0.016001224517822266,1.4670592538324692,0.009898777430576773
143,relu,adam,29,1,0.3587801478896984,0.03395021495183729,61,50.49248496691386,0.009334961573282877,8.887798788750647,0.004783743123997142
13,relu,adam,77,1e-05,0.3447600518815814,0.03856423257897405,72,115.16623799006145,0.013668139775594076,4.889197740274548,0.0012456846276842131
37,relu,adam,77,0.0001,0.3447605673440705,0.038655762981216354,71,114.48146255811055,0.02400382359822591,4.66420775061417,0.008981784771589015
61,relu,adam,77,0.001,0.34910752549336205,0.036110113264767416,67,108.87101443608601,0.02499985694885254,5.645682777170925,0.010678515050136507
85,relu,adam,77,0.01,0.34656693661746885,0.03820717312225146,70,117.80033127466838,0.019001245498657227,5.572072213647829,0.004967426994286013
109,relu,adam,77,0.1,0.34674863901225933,0.037959651431604284,69,110.62926355997722,0.013330698013305664,8.4597996521541,0.0004713713586767779
133,relu,adam,77,1,0.34853390790570177,0.03768778087747037,68,109.87840167681377,0.01133577028910319,5.655522529366211,0.00047058365283811766
0,relu,lbfgs,5,1e-05,0.0008990458544221683,0.40974713428958304,90,6.675196886062622,0.007998466491699219,0.7656547138629389,0.0008170239103924143
24,relu,lbfgs,5,0.0001,0.22657667534684744,0.10267013812140023,76,7.43663215637207,0.007334550221761067,4.007432810193407,0.00047030344942578255
48,relu,lbfgs,5,0.001,0.22853229730962124,0.10402054691643305,75,5.21431303024292,0.008334636688232422,1.5013286198193792,0.0009429101439010608
72,relu,lbfgs,5,0.01,0.25007617846488167,0.09198015506891337,74,7.995056947072347,0.00799997647603353,3.491646385772579,1.251539846104274e-06
96,relu,lbfgs,5,0.1,0.2131243242868617,0.10840263174245968,77,9.470814069112143,0.007666428883870442,4.98000955168896,0.0009440332158637924
120,relu,lbfgs,5,1,0.2721296507529933,0.06725216257883182,73,10.333856264750162,0.016667763392130535,5.051447698126585,0.013669796532395884
2,relu,lbfgs,6,1e-05,-0.12097379001155367,0.33382005079329835,94,11.899653434753418,0.006668488184611003,5.014970834550167,0.00046710742373389
26,relu,lbfgs,6,0.0001,-0.013284341508088845,0.14906816260627986,91,9.246235132217407,0.008998950322469076,1.2542007974116736,0.0021599064828328957
50,relu,lbfgs,6,0.001,0.1057903954495888,0.0754523702212747,81,9.130110740661621,0.01133124033610026,3.2167067642692526,0.0061309060173726365
