,Algorithm,Type,Metric,Position,Subset,Multioutput,Opponent Data,PCA,Season Total + Play Mean Data,Season Total Data,Split by Position,Teammate Data
88,Regression,ElasticNet,R^2,RB,Optimized,0.43,0.41,0.43,,,0.43,
89,Regression,ElasticNet,R^2,TE,"Downselected, Standardized Features",0.48,0.45,0.48,,,0.49,
90,Regression,ElasticNet,R^2,TE,Optimized,0.5,0.46,0.48,,,0.49,
91,Regression,ElasticNet,R^2,WR,"Downselected, Standardized Features",0.42,0.36,0.42,,,0.43,
92,Regression,ElasticNet,R^2,WR,Optimized,0.43,0.37,0.42,,,0.43,
93,Regression,Bayesian Ridge,MAE,All,Base/Default Model,,,,,31.6,,
94,Regression,Bayesian Ridge,MAE,All,Hyperparameter Optimization,,,,,31.6,,
95,Regression,Bayesian Ridge,MAE,All,Manual Feature Selection,,,,,31.7,,
96,Regression,Bayesian Ridge,MAE,All,Standardization,,,,,31.6,,
97,Regression,Bayesian Ridge,RMSE,All,Base/Default Model,,,,,47.3,,
98,Regression,Bayesian Ridge,RMSE,All,Hyperparameter Optimization,,,,,47.3,,
99,Regression,Bayesian Ridge,RMSE,All,Manual Feature Selection,,,,,47.4,,
100,Regression,Bayesian Ridge,RMSE,All,Standardization,,,,,47.2,,
101,Regression,Bayesian Ridge,R^2,All,Base/Default Model,,,,,0.45,,
102,Regression,Bayesian Ridge,R^2,All,Hyperparameter Optimization,,,,,0.45,,
103,Regression,Bayesian Ridge,R^2,All,Manual Feature Selection,,,,,0.45,,
104,Regression,Bayesian Ridge,R^2,All,Standardization,,,,,0.45,,
105,SVM,Kernel Ridge (Linear),MAE,All,Base/Default Model,,,,,29.9,,
106,SVM,Kernel Ridge (Linear),MAE,All,Hyperparameter Optimization,,,,,29.9,,
107,SVM,Kernel Ridge (Linear),MAE,All,Manual Feature Selection,,,,,29.7,,
108,SVM,Kernel Ridge (Linear),MAE,All,Standardization,,,,,51.7,,
109,SVM,Kernel Ridge (Linear),RMSE,All,Base/Default Model,,,,,50.4,,
110,SVM,Kernel Ridge (Linear),RMSE,All,Hyperparameter Optimization,,,,,50.3,,
111,SVM,Kernel Ridge (Linear),RMSE,All,Manual Feature Selection,,,,,50.2,,
112,SVM,Kernel Ridge (Linear),RMSE,All,Standardization,,,,,67.7,,
113,SVM,Kernel Ridge (Linear),R^2,All,Base/Default Model,,,,,0.38,,
114,SVM,Kernel Ridge (Linear),R^2,All,Hyperparameter Optimization,,,,,0.38,,
115,SVM,Kernel Ridge (Linear),R^2,All,Manual Feature Selection,,,,,0.38,,
116,SVM,Kernel Ridge (Linear),R^2,All,Standardization,,,,,-0.13,,
117,Neighbors,KNN,MAE,All,Base Model,,,,33.1,,,
118,Neighbors,KNN,MAE,All,Base/Default Model,,,,,33.1,,
119,Neighbors,KNN,MAE,All,Hyperparameter Optimization,,,,,31.6,,
120,Neighbors,KNN,MAE,All,Manual Feature Selection,,,,31.2,31.3,,
121,Neighbors,KNN,MAE,All,Optimized + Standardized,,,,30.7,,,
122,Neighbors,KNN,MAE,All,Standardization,,,,,32.0,,
123,Neighbors,KNN,MAE,QB,"Downselected, Standardized Features",61.4,50.2,65.0,,,71.1,
124,Neighbors,KNN,MAE,QB,Optimized,53.0,52.7,63.4,,,61.7,
125,Neighbors,KNN,MAE,RB,"Downselected, Standardized Features",44.8,39.6,44.8,,,44.8,
126,Neighbors,KNN,MAE,RB,Optimized,42.8,37.7,44.1,,,43.3,
127,Neighbors,KNN,MAE,TE,"Downselected, Standardized Features",23.0,23.6,23.3,,,23.3,
128,Neighbors,KNN,MAE,TE,Optimized,21.3,23.3,22.7,,,21.9,
129,Neighbors,KNN,MAE,WR,"Downselected, Standardized Features",38.4,35.1,38.8,,,39.6,
130,Neighbors,KNN,MAE,WR,Optimized,37.7,34.8,38.2,,,38.4,
131,Neighbors,KNN,RMSE,All,Base Model,,,,48.8,,,
132,Neighbors,KNN,RMSE,All,Base/Default Model,,,,,48.8,,
133,Neighbors,KNN,RMSE,All,Hyperparameter Optimization,,,,,47.4,,
134,Neighbors,KNN,RMSE,All,Manual Feature Selection,,,,47.2,47.3,,
135,Neighbors,KNN,RMSE,All,Optimized + Standardized,,,,48.8,,,
136,Neighbors,KNN,RMSE,All,Standardization,,,,,48.4,,
137,Neighbors,KNN,RMSE,QB,"Downselected, Standardized Features",79.2,74.9,84.8,,,89.0,
138,Neighbors,KNN,RMSE,QB,Optimized,72.3,69.6,82.1,,,82.7,
139,Neighbors,KNN,RMSE,RB,"Downselected, Standardized Features",67.5,60.9,68.4,,,68.4,
140,Neighbors,KNN,RMSE,RB,Optimized,65.6,56.4,64.9,,,65.9,
141,Neighbors,KNN,RMSE,TE,"Downselected, Standardized Features",31.9,35.1,32.3,,,32.3,
142,Neighbors,KNN,RMSE,TE,Optimized,31.0,33.1,32.1,,,31.9,
143,Neighbors,KNN,RMSE,WR,"Downselected, Standardized Features",59.5,51.1,60.5,,,60.1,
144,Neighbors,KNN,RMSE,WR,Optimized,56.8,49.2,57.2,,,57.6,
145,Neighbors,KNN,R^2,All,Base Model,,,,0.41,,,
146,Neighbors,KNN,R^2,All,Base/Default Model,,,,,0.41,,
147,Neighbors,KNN,R^2,All,Hyperparameter Optimization,,,,,0.45,,
148,Neighbors,KNN,R^2,All,Manual Feature Selection,,,,0.45,0.45,,
149,Neighbors,KNN,R^2,All,Optimized + Standardized,,,,0.41,,,
150,Neighbors,KNN,R^2,All,Standardization,,,,,0.42,,
151,Neighbors,KNN,R^2,QB,"Downselected, Standardized Features",0.33,0.38,0.39,,,0.33,
152,Neighbors,KNN,R^2,QB,Optimized,0.44,0.46,0.43,,,0.42,
153,Neighbors,KNN,R^2,RB,"Downselected, Standardized Features",0.3,0.21,0.3,,,0.3,
154,Neighbors,KNN,R^2,RB,Optimized,0.34,0.33,0.37,,,0.35,
155,Neighbors,KNN,R^2,TE,"Downselected, Standardized Features",0.39,0.34,0.4,,,0.4,
156,Neighbors,KNN,R^2,TE,Optimized,0.43,0.41,0.41,,,0.42,
157,Neighbors,KNN,R^2,WR,"Downselected, Standardized Features",0.3,0.31,0.31,,,0.32,
158,Neighbors,KNN,R^2,WR,Optimized,0.37,0.36,0.38,,,0.37,
159,Neural Networks,MLP,MAE,All,Base Model,,,,33.7,,,
160,Neural Networks,MLP,MAE,All,Base/Default Model,,,,,33.2,,
161,Neural Networks,MLP,MAE,All,Hyperparameter Optimization,,,,,31.0,,
