tackled_for_loss_seasonTotal,yards_gained_seasonTotal,fumble_seasonTotal,touchdown_seasonTotal,complete_pass_seasonTotal,pass_attempt_seasonTotal,pass_touchdown_seasonTotal,air_yards_seasonTotal,yards_after_catch_seasonTotal,tackled_for_loss-1_seasonTotal,yards_gained-1_seasonTotal,fumble-1_seasonTotal,touchdown-1_seasonTotal,complete_pass-1_seasonTotal,pass_attempt-1_seasonTotal,pass_touchdown-1_seasonTotal,air_yards-1_seasonTotal,yards_after_catch-1_seasonTotal,tackled_for_loss-2_seasonTotal,yards_gained-2_seasonTotal,fumble-2_seasonTotal,touchdown-2_seasonTotal,complete_pass-2_seasonTotal,pass_attempt-2_seasonTotal,pass_touchdown-2_seasonTotal,air_yards-2_seasonTotal,yards_after_catch-2_seasonTotal,tackled_for_loss-3_seasonTotal,yards_gained-3_seasonTotal,fumble-3_seasonTotal,touchdown-3_seasonTotal,complete_pass-3_seasonTotal,pass_attempt-3_seasonTotal,pass_touchdown-3_seasonTotal,air_yards-3_seasonTotal,yards_after_catch-3_seasonTotal,tackled_for_loss_avgPerGame,yards_gained_avgPerGame,fumble_avgPerGame,touchdown_avgPerGame,complete_pass_avgPerGame,pass_attempt_avgPerGame,pass_touchdown_avgPerGame,air_yards_avgPerGame,yards_after_catch_avgPerGame,tackled_for_loss-1_avgPerGame,yards_gained-1_avgPerGame,fumble-1_avgPerGame,touchdown-1_avgPerGame,complete_pass-1_avgPerGame,pass_attempt-1_avgPerGame,pass_touchdown-1_avgPerGame,air_yards-1_avgPerGame,yards_after_catch-1_avgPerGame,tackled_for_loss-2_avgPerGame,yards_gained-2_avgPerGame,fumble-2_avgPerGame,touchdown-2_avgPerGame,complete_pass-2_avgPerGame,pass_attempt-2_avgPerGame,pass_touchdown-2_avgPerGame,air_yards-2_avgPerGame,yards_after_catch-2_avgPerGame,tackled_for_loss-3_avgPerGame,yards_gained-3_avgPerGame,fumble-3_avgPerGame,touchdown-3_avgPerGame,complete_pass-3_avgPerGame,pass_attempt-3_avgPerGame,pass_touchdown-3_avgPerGame,air_yards-3_avgPerGame,yards_after_catch-3_avgPerGame,fanPts,fanPts-1,fanPts-2,fanPts-3
0.0,285.0,0.0,0.0,30.0,54.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25.90909090909091,0.0,0.0,2.727272727272727,4.909090909090909,0.0,0.0,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,,,
0.0,414.0,1.0,1.0,34.0,72.0,1.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,37.63636363636363,0.09090909090909091,0.09090909090909091,3.090909090909091,6.545454545454546,0.09090909090909091,0.0,0.7272727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,,,
0.0,60.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.0,0.0,0.0,0.75,2.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,
40.0,1748.0,2.0,5.0,56.0,77.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6666666666666667,72.83333333333333,0.08333333333333333,0.20833333333333334,2.3333333333333335,3.2083333333333335,0.0,0.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.8,,,
0.0,257.0,1.0,1.0,17.0,38.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,19.76923076923077,0.07692307692307693,0.07692307692307693,1.3076923076923077,2.923076923076923,0.07692307692307693,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,,,
0.0,743.0,1.0,6.0,58.0,107.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,46.4375,0.0625,0.375,3.625,6.6875,0.375,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.3,,,
0.0,385.0,0.0,1.0,23.0,55.0,1.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20.263157894736842,0.0,0.05263157894736842,1.2105263157894737,2.8947368421052633,0.05263157894736842,0.0,0.21052631578947367,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,,,
0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,
0.0,24.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,
2.0,4.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.0,0.5,1.3333333333333333,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,,,
0.0,914.0,0.0,3.0,54.0,105.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,57.125,0.0,0.1875,3.375,6.5625,0.125,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.4,,,
