tackled_for_loss_seasonTotal,yards_gained_seasonTotal,fumble_seasonTotal,touchdown_seasonTotal,complete_pass_seasonTotal,pass_attempt_seasonTotal,pass_touchdown_seasonTotal,air_yards_seasonTotal,qb_dropback_seasonTotal,qb_hit_seasonTotal,qb_scramble_seasonTotal,sack_seasonTotal,tackled_for_loss-1_seasonTotal,yards_gained-1_seasonTotal,fumble-1_seasonTotal,touchdown-1_seasonTotal,complete_pass-1_seasonTotal,pass_attempt-1_seasonTotal,pass_touchdown-1_seasonTotal,air_yards-1_seasonTotal,qb_dropback-1_seasonTotal,qb_hit-1_seasonTotal,qb_scramble-1_seasonTotal,sack-1_seasonTotal,tackled_for_loss-2_seasonTotal,yards_gained-2_seasonTotal,fumble-2_seasonTotal,touchdown-2_seasonTotal,complete_pass-2_seasonTotal,pass_attempt-2_seasonTotal,pass_touchdown-2_seasonTotal,air_yards-2_seasonTotal,qb_dropback-2_seasonTotal,qb_hit-2_seasonTotal,qb_scramble-2_seasonTotal,sack-2_seasonTotal,tackled_for_loss-3_seasonTotal,yards_gained-3_seasonTotal,fumble-3_seasonTotal,touchdown-3_seasonTotal,complete_pass-3_seasonTotal,pass_attempt-3_seasonTotal,pass_touchdown-3_seasonTotal,air_yards-3_seasonTotal,qb_dropback-3_seasonTotal,qb_hit-3_seasonTotal,qb_scramble-3_seasonTotal,sack-3_seasonTotal,tackled_for_loss_avgPerGame,yards_gained_avgPerGame,fumble_avgPerGame,touchdown_avgPerGame,complete_pass_avgPerGame,pass_attempt_avgPerGame,pass_touchdown_avgPerGame,air_yards_avgPerGame,qb_dropback_avgPerGame,qb_hit_avgPerGame,qb_scramble_avgPerGame,sack_avgPerGame,tackled_for_loss-1_avgPerGame,yards_gained-1_avgPerGame,fumble-1_avgPerGame,touchdown-1_avgPerGame,complete_pass-1_avgPerGame,pass_attempt-1_avgPerGame,pass_touchdown-1_avgPerGame,air_yards-1_avgPerGame,qb_dropback-1_avgPerGame,qb_hit-1_avgPerGame,qb_scramble-1_avgPerGame,sack-1_avgPerGame,tackled_for_loss-2_avgPerGame,yards_gained-2_avgPerGame,fumble-2_avgPerGame,touchdown-2_avgPerGame,complete_pass-2_avgPerGame,pass_attempt-2_avgPerGame,pass_touchdown-2_avgPerGame,air_yards-2_avgPerGame,qb_dropback-2_avgPerGame,qb_hit-2_avgPerGame,qb_scramble-2_avgPerGame,sack-2_avgPerGame,tackled_for_loss-3_avgPerGame,yards_gained-3_avgPerGame,fumble-3_avgPerGame,touchdown-3_avgPerGame,complete_pass-3_avgPerGame,pass_attempt-3_avgPerGame,pass_touchdown-3_avgPerGame,air_yards-3_avgPerGame,qb_dropback-3_avgPerGame,qb_hit-3_avgPerGame,qb_scramble-3_avgPerGame,sack-3_avgPerGame,fanPts,fanPts-1,fanPts-2,fanPts-3
0.0,2647.0,13.0,21.0,232.0,435.0,14.0,0.0,432.0,7.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,203.6153846153846,1.0,1.6153846153846154,17.846153846153847,33.46153846153846,1.0769230769230769,0.0,33.23076923076923,0.5384615384615384,0.0,0.9230769230769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.88,,,
0.0,1055.0,8.0,9.0,107.0,246.0,8.0,0.0,243.0,22.0,0.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,95.9090909090909,0.7272727272727273,0.8181818181818182,9.727272727272727,22.363636363636363,0.7272727272727273,0.0,22.09090909090909,2.0,0.0,2.5454545454545454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2,,,
1.0,1200.0,10.0,8.0,119.0,247.0,7.0,0.0,245.0,15.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,120.0,1.0,0.8,11.9,24.7,0.7,0.0,24.5,1.5,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,
0.0,188.0,0.0,3.0,22.0,53.0,0.0,0.0,53.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,47.0,0.0,0.75,5.5,13.25,0.0,0.0,13.25,1.25,0.0,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.52,,,
1.0,3229.0,11.0,23.0,294.0,524.0,22.0,0.0,518.0,21.0,0.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,201.8125,0.6875,1.4375,18.375,32.75,1.375,0.0,32.375,1.3125,0.0,1.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.16,,,
0.0,727.0,3.0,3.0,78.0,148.0,2.0,0.0,148.0,7.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,121.16666666666667,0.5,0.5,13.0,24.666666666666668,0.3333333333333333,0.0,24.666666666666668,1.1666666666666667,0.0,1.1666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.08,,,
0.0,241.0,2.0,1.0,32.0,59.0,0.0,0.0,59.0,4.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,120.5,1.0,0.5,16.0,29.5,0.0,0.0,29.5,2.0,0.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64,,,
0.0,248.0,2.0,2.0,18.0,36.0,2.0,0.0,36.0,6.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,248.0,2.0,2.0,18.0,36.0,2.0,0.0,36.0,6.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.920000000000002,,,
0.0,2179.0,5.0,10.0,196.0,368.0,10.0,0.0,359.0,29.0,0.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,217.9,0.5,1.0,19.6,36.8,1.0,0.0,35.9,2.9,0.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.16,,,
4.0,2838.0,13.0,20.0,215.0,418.0,16.0,0.0,416.0,24.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2857142857142857,202.71428571428572,0.9285714285714286,1.4285714285714286,15.357142857142858,29.857142857142858,1.1428571428571428,0.0,29.714285714285715,1.7142857142857142,0.0,2.142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.51999999999998,,,
